cartera,subjurisdiccion,apertura,unidad,tipo_organismo
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Ingeniería,Departamento Combustibles MOX,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Departamento Combustibles Avanzados,Subgerencia Desarrollo de Tecnología de Combustibles para Reactores de Potencia y Experimentales,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Núcleos Cerámicos y Venenos Quemables,Departamento Combustibles Avanzados,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Polvos Cerámicos Nucleares,Departamento Combustibles Avanzados,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Departamento Procesos de Conversión,Subgerencia Desarrollo de Tecnología de Combustibles para Reactores de Potencia y Experimentales,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Ingeniería y Procesos de Obtención de Polvos,Departamento Procesos de Conversión,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Laboratorio de Desarrollo de Compuestos de Uranio,Departamento Procesos de Conversión,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Gerencia Empresas y Desarrollo de Recursos Económicos,Comisión Nacional de Energía Atómica,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Apoyo Técnico Administrativo,Gerencia Empresas y Desarrollo de Recursos Económicos,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Departamento Coordinación de Proyectos Especiales,Gerencia Empresas y Desarrollo de Recursos Económicos,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Sección Análisis y Confección de Proyectos,Departamento Coordinación de Proyectos Especiales,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Sección Control de Proyectos Especiales,Departamento Coordinación de Proyectos Especiales,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Subgerencia Proyecto PET/CT Ciclotrón,Gerencia Empresas y Desarrollo de Recursos Económicos,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Subgerencia Promoción y Desarrollo de Recursos Económicos,Gerencia Empresas y Desarrollo de Recursos Económicos,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Unidad Ejecutora de Créditos y Subsidios,Subgerencia Promoción y Desarrollo de Recursos Económicos,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Gerencia Asuntos Jurídicos,Comisión Nacional de Energía Atómica,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Secretaria Técnico Administrativa,Gerencia Asuntos Jurídicos,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Sección Mesa de Entrada y Archivo,División Secretaria Técnico Administrativa,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Sección Técnico Administrativa,División Secretaria Técnico Administrativa,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Departamento Sumarios Administrativos,Gerencia Asuntos Jurídicos,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Instrucciones Sumarias,Departamento Sumarios Administrativos,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Departamento Servicio de Documentación e Información Legal,Gerencia Asuntos Jurídicos,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Subgerencia Asuntos Judiciales,Gerencia Asuntos Jurídicos,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Juicios Laborales,Subgerencia Asuntos Judiciales,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Contencioso Administrativo,Subgerencia Asuntos Judiciales,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Subgerencia Coordinación y Dictámenes,Gerencia Asuntos Jurídicos,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Recursos Administrativos,Subgerencia Coordinación y Dictámenes,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Contratos,Subgerencia Coordinación y Dictámenes,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Gerencia Comunicación Social,Comisión Nacional de Energía Atómica,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Relaciones Publicas,Gerencia Comunicación Social,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Sección Comunicación Interna,Gerencia Comunicación Social,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Administrativa Contable,Gerencia Comunicación Social,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Departamento Prensa y Comunicación,Gerencia Comunicación Social,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Sección Producción de Contenidos,Departamento Prensa y Comunicación,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Prensa,Departamento Prensa y Comunicación,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Departamento Relaciones con la Comunidad,Gerencia Comunicación Social,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Comunicación Comunitaria,Departamento Relaciones con la Comunidad,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Divulgación Científica,Departamento Relaciones con la Comunidad,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Gerencia Tecnología de la Información y de las Comunicaciones,Comisión Nacional de Energía Atómica,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Seguridad Informática,Gerencia Tecnología de la Información y de las Comunicaciones,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Soporte e Infraestructura,Gerencia Tecnología de la Información y de las Comunicaciones,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Técnico Administrativa,Gerencia Tecnología de la Información y de las Comunicaciones,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Gestión Contable y Presupuestaria,Gerencia Tecnología de la Información y de las Comunicaciones,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Departamento Sistemas Informáticos,Gerencia Tecnología de la Información y de las Comunicaciones,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Análisis de Sistemas,Departamento Sistemas Informáticos,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Departamento Gestión de Redes,Gerencia Tecnología de la Información y de las Comunicaciones,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Gestión de Redes Centro Atómico Constituyentes,Departamento Gestión de Redes,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Gestión de Redes Sede Central,Departamento Gestión de Redes,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Gestión de Redes Centro Atómico Ezeiza,Departamento Gestión de Redes,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Gestión de Redes Centro Atómico Bariloche,Departamento Gestión de Redes,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Departamento Comunicaciones,Gerencia Tecnología de la Información y de las Comunicaciones,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Sección Comunicaciones Sede Central,Departamento Comunicaciones,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Sección Comunicaciones Centro Atómico Bariloche,Departamento Comunicaciones,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Sección Comunicaciones Centro Atómico Constituyentes,Departamento Comunicaciones,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Sección Comunicaciones Centro Atómico Ezeiza,Departamento Comunicaciones,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Departamento Computación de Alta Prestación,Gerencia Tecnología de la Información y de las Comunicaciones,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Gerencia Recursos Humanos,Comisión Nacional de Energía Atómica,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Departamento Técnico Administrativo,Gerencia Recursos Humanos,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Subgerencia Desarrollo Laboral,Gerencia Recursos Humanos,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Subgerencia Remuneraciones,Gerencia Recursos Humanos,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Subgerencia Personal,Gerencia Recursos Humanos,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Subgerencia Relaciones Laborales,Gerencia Recursos Humanos,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Departamento Asistencia Social,Subgerencia Relaciones Laborales,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Departamento Asuntos Gremiales,Subgerencia Relaciones Laborales,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Convenio Colectivo,Departamento Asuntos Gremiales,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Gestión Gremial,Departamento Asuntos Gremiales,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Departamento Beneficios Sociales,Subgerencia Relaciones Laborales,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Jubilaciones,Departamento Beneficios Sociales,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Obra Social y Seguros,Departamento Beneficios Sociales,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Sección Ciudad de Bs. As. y Gran Bs. As.,División Obra Social y Seguros,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Sección Delegaciones del Interior,División Obra Social y Seguros,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Gerencia Proyecto LASIE,Comisión Nacional de Energía Atómica,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Subgerencia Aplicaciones de la Tecnología Láser,Gerencia Proyecto LASIE,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Proyectos y Apoyo Técnico,Subgerencia Aplicaciones de la Tecnología Láser,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Seguridad y Ambiente,Subgerencia Aplicaciones de la Tecnología Láser,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Departamento Desarrollo de Láseres y Procesos,Subgerencia Aplicaciones de la Tecnología Láser,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Departamento Espectroscopía y Dinámica de Gases,Subgerencia Aplicaciones de la Tecnología Láser,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Subgerencia Ingeniería,Gerencia Proyecto LASIE,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,"División Robótica, Electrónica, Vacío y Criogenia",Subgerencia Ingeniería,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Asistencia de Proyectos,Subgerencia Ingeniería,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Departamento Coordinación Logística de Subsistemas de Enriquecimiento,Subgerencia Ingeniería,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Gerencia Relaciones Institucionales,Comisión Nacional de Energía Atómica,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Sección Apoyo a la Gestión,Gerencia Relaciones Institucionales,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Secretaria y Despacho,Gerencia Relaciones Institucionales,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Departamento Coordinación y Relaciones Nacionales,Gerencia Relaciones Institucionales,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Sección Convenios Nacionales,Departamento Coordinación y Relaciones Nacionales,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Departamento Gestión Político Institucional,Gerencia Relaciones Institucionales,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Departamento Relaciones Bilaterales,Gerencia Relaciones Institucionales,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Subgerencia Organismos Internacionales,Gerencia Relaciones Institucionales,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Sección Técnico Administrativa,Subgerencia Organismos Internacionales,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Gerencia Administración y Finanzas,Comisión Nacional de Energía Atómica,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Sección Pasajes,Gerencia Administración y Finanzas,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Sección Automotores,Gerencia Administración y Finanzas,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Secretaria y Despacho,Gerencia Administración y Finanzas,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Sección Administración,División Secretaria y Despacho,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Sección Secretaria,División Secretaria y Despacho,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Comisión Evaluadora,Gerencia Administración y Finanzas,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Sección Evaluación de Ofertas,División Comisión Evaluadora,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Comisión de Recepción,Gerencia Administración y Finanzas,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Higiene y Seguridad,Gerencia Administración y Finanzas,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Sección Higiene y Seguridad en el Trabajo,División Higiene y Seguridad,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Sección Empadronamiento y Guardia,División Higiene y Seguridad,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Legal y Técnica,Gerencia Administración y Finanzas,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Departamento Comercio Internacional,Gerencia Administración y Finanzas,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Gestión de Comercio Exterior,Departamento Comercio Internacional,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Aduanas,Departamento Comercio Internacional,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Departamento Gestión de Bienes,Gerencia Administración y Finanzas,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Departamento Tesoreria,Gerencia Administración y Finanzas,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Pagos,Departamento Tesoreria,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Recursos,Departamento Tesoreria,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Departamento Evaluación Económica,Gerencia Administración y Finanzas,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Departamento Patrimonio,Gerencia Administración y Finanzas,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Bienes Muebles,Departamento Patrimonio,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Bienes Inmuebles,Departamento Patrimonio,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Departamento Servicios Técnicos,Gerencia Administración y Finanzas,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Asistencia Técnica,Departamento Servicios Técnicos,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Intendencia,Departamento Servicios Técnicos,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Subgerencia Presupuesto,Gerencia Administración y Finanzas,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Programación Física,Subgerencia Presupuesto,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Programación Financiera,Subgerencia Presupuesto,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Subgerencia Contaduría,Gerencia Administración y Finanzas,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Impuestos,Subgerencia Contaduría,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Revisión de Cuentas,Subgerencia Contaduría,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Liquidaciones,Subgerencia Contaduría,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Contable y Facturación,Subgerencia Contaduría,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Subgerencia Compras y Contrataciones,Gerencia Administración y Finanzas,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Gestión Compra,Subgerencia Compras y Contrataciones,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Sección Gestión Sede,División Gestión Compra,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Sección UOC Interior,División Gestión Compra,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Departamento Contrataciones,Subgerencia Compras y Contrataciones,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Subgerencia Control de Gestión,Gerencia Administración y Finanzas,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Sección Gestión Técnica,Subgerencia Control de Gestión,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Departamento Procedimientos,Subgerencia Control de Gestión,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Sistemas Administrativos,Departamento Procedimientos,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Departamento Relevamientos,Subgerencia Control de Gestión,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,"Gerencia Planificación, Coordinación y Control",Comisión Nacional de Energía Atómica,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Gestión Técnica Administrativa,"Gerencia Planificación, Coordinación y Control",Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Departamento Propiedad Intelectual,"Gerencia Planificación, Coordinación y Control",Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Subgerencia Planificación Operativa,"Gerencia Planificación, Coordinación y Control",Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Subgerencia Planificación Estratégica,"Gerencia Planificación, Coordinación y Control",Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Prospectiva Nuclear y Planificación Energética,Subgerencia Planificación Estratégica,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Gestión Estratégica,Subgerencia Planificación Estratégica,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Gerencia Coordinación y Enlace,Comisión Nacional de Energía Atómica,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Sección Calidad,Gerencia Coordinación y Enlace,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Secretaria Privada,Gerencia Coordinación y Enlace,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Secretaria Administrativa,Gerencia Coordinación y Enlace,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Apoyo Técnico Administrativo,Gerencia Coordinación y Enlace,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Ceremonial y Protocolo,Gerencia Coordinación y Enlace,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Departamento Control de Gestión Técnico Administrativa,Gerencia Coordinación y Enlace,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Sección Gestión Documental,Departamento Control de Gestión Técnico Administrativa,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Sección Gestión Actos Administrativos y BAP,Departamento Control de Gestión Técnico Administrativa,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Sección Correspondencia y Despacho,Departamento Control de Gestión Técnico Administrativa,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Subgerencia Coordinación de Proyectos de Innovación Tecnológica,Gerencia Coordinación y Enlace,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Supervisión Operativa,Subgerencia Coordinación de Proyectos de Innovación Tecnológica,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Supervisión Contable,Subgerencia Coordinación de Proyectos de Innovación Tecnológica,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Administración y Contratos,Subgerencia Coordinación de Proyectos de Innovación Tecnológica,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Gerencia de Área CAREM,Comisión Nacional de Energía Atómica,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,"Sección Secretaría, Servicios Generales y Mesa de Entradas CAREM",Gerencia de Área CAREM,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Sección Relaciones con la Comunidad,Gerencia de Área CAREM,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Asistencia Técnico Legal,Gerencia de Área CAREM,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Tecnología Informática,Gerencia de Área CAREM,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Medio Ambiente Seguridad e Higiene,Gerencia de Área CAREM,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Licenciamiento,Gerencia de Área CAREM,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Departamento Planificación,Gerencia de Área CAREM,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Subgerencia Administración CAREM,Gerencia de Área CAREM,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Apoyo Administrativo CAB,Subgerencia Administración CAREM,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Departamento Compras CAREM,Subgerencia Administración CAREM,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Unidad Operativa de Compras,Departamento Compras CAREM,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Contrataciones CAREM,Departamento Compras CAREM,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Departamento Personal CAREM,Subgerencia Administración CAREM,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Departamento Contabilidad CAREM,Subgerencia Administración CAREM,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Departamento Finanzas CAREM,Subgerencia Administración CAREM,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Gerencia Ingeniería CAREM,Gerencia de Área CAREM,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,"Departamento Coordinación Ingeniería Mecánica, Materiales y Ensayos No Destructivos",Gerencia Ingeniería CAREM,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Departamento Coordinación CAPEM y Procesos,Gerencia Ingeniería CAREM,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,"Departamento Coordinación Instrumentación, Control y Tecnologías",Gerencia Ingeniería CAREM,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Departamento Ingeniería Civil,Gerencia Ingeniería CAREM,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Departamento Coordinación Preservación de la Información y Operación,Gerencia Ingeniería CAREM,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Departamento Coordinación Ingeniería Nuclear,Gerencia Ingeniería CAREM,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Departamento Oficina Técnica de Ingeniería,Gerencia Ingeniería CAREM,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Gerencia Dirección de Obras,Gerencia de Área CAREM,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Departamento Oficina Técnica de Obra,Gerencia Dirección de Obras,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Departamento Obra Civil,Gerencia Dirección de Obras,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,División Inspección de Obras,Departamento Obra Civil,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Departamento Coordinación Montaje Electromagnético,Gerencia Dirección de Obras,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Departamento Intendencia Predio CAREM - Lima,Gerencia Dirección de Obras,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Gerencia de Área Medicina Nuclear y Radioterapia,Comisión Nacional de Energía Atómica,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Departamento Administración Contable Financiera,Gerencia de Área Medicina Nuclear y Radioterapia,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Gerencia Coordinación y Planificación de Centros de Medicina Nuclear y Radioterapia,Gerencia de Área Medicina Nuclear y Radioterapia,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Departamento Coordinación Operativa de Centros de Medicina Nuclear y Radioterapia,Gerencia Coordinación y Planificación de Centros de Medicina Nuclear y Radioterapia,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Departamento Planificación y Organización de Centros de Medicina Nuclear y Radioterapia,Gerencia Coordinación y Planificación de Centros de Medicina Nuclear y Radioterapia,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Gerencia Centro Integral de Medicina Nuclear y Radioterapia de Bariloche,Gerencia de Área Medicina Nuclear y Radioterapia,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Departamento Producción de Radioisótopos y Radiofármacos,Gerencia Centro Integral de Medicina Nuclear y Radioterapia de Bariloche,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Departamento Investigación Traslacional,Gerencia Centro Integral de Medicina Nuclear y Radioterapia de Bariloche,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Gerencia Investigación y Desarrollo en Aplicaciones Nucleares a la Salud,Gerencia de Área Medicina Nuclear y Radioterapia,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Gerencia de Área Académica,Comisión Nacional de Energía Atómica,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Subgerencia Instituto de Tecnología Nuclear Dan Beninson,Gerencia de Área Académica,Organismo Descentralizado
Ministerio de Economía,Comisión Nacional de Energía Atómica,Sección Administrativa,Subgerencia Instituto de Tecnología Nuclear Dan Beninson,Organismo Descentralizado
